日期,日度加权情绪总和,帖子数,情绪均值,指数1_强度*热度,归一化情绪因子,情绪拟合值
2021-04-05,11.761806347785187,1,11.761806347785187,8.15266290825937,0.5330909033684134,0.2807365496152628
2021-04-21,2.154510616314995,1,2.154510616314995,1.4933929591852089,0.2974145847128376,0.26700943668450644
2021-05-25,20.042507502851507,1,20.042507502851507,13.892407566953072,0.6871254168704385,0.25363628574681946
2021-05-30,-9.339461191368567,2,-4.669730595684284,-5.130223417188207,0.0204463824006076,0.24061709680220178
2021-05-31,-13.946433368596056,2,-6.973216684298028,-7.660861540915304,-0.0886757373114325,0.2279518698506534
2021-06-01,3.5801566891819245,2,1.7900783445909625,1.9666020670462985,0.3159396616097015,0.21564060489217435
2021-06-03,-0.9664952161782204,1,-0.9664952161782204,-0.6699234341186083,0.2100233434821879,0.20368330192676462
2021-06-04,-9.922600090030429,3,-3.307533363343476,-4.585214850818967,0.0439727515160291,0.1920799609544242
2021-06-05,7.530385980883121,6,1.2550643301471869,2.442242417750719,0.3343202615923922,0.18083058197515312
2021-06-06,-22.198611286869493,2,-11.099305643434748,-12.193833575560712,-0.2773382746362841,0.16993516498895134
2021-06-08,38.25755991010753,1,38.25755991010753,26.51811978679423,0.8827509710387356,0.15939370999581887
2021-06-09,-9.38532677914178,1,-9.38532677914178,-6.505412795595877,-0.0389582061438764,0.14920621699575576
2021-06-10,6.333909046008805,2,3.1669545230044025,3.4792551566256886,0.3735113559531487,0.13937268598876193
2021-06-11,-19.258264557740414,2,-9.629132278870207,-10.578683050777572,-0.2117468030159798,0.1298931169748374
2021-06-12,-11.828010637775096,2,-5.914005318887548,-6.497198918578423,-0.0386037871029075,0.12076750995398225
2021-06-13,-68.11644846411812,5,-13.623289692823624,-24.409658309153688,-0.6710707056694212,0.11199586492619637
2021-06-14,-162.43611851367928,13,-12.49508603951379,-32.97524839675216,-0.8283451084778976,0.10357818189147983
2021-06-15,23.95100026721966,3,7.983666755739886,11.067712204542534,0.6171716636675416,0.09551446084983259
2021-06-16,22.390835809081945,1,22.390835809081945,15.520144711445813,0.7224878988239312,0.08780470180125466
2021-06-17,6.373520771326795,2,3.1867603856633977,3.5010141207305336,0.3743201790690175,0.08044890474574612
2021-06-18,-44.80421978862767,4,-11.201054947156916,-18.02740249121188,-0.4906278907596459,0.07344706968330683
2021-06-19,-30.155056903350083,3,-10.051685634450028,-13.934595114787882,-0.3452326823602401,0.06679919661393685
2021-06-20,-11.27805809810024,4,-2.81951452452506,-4.537833570429237,0.0460161310057163,0.06050528553763626
2021-06-21,-27.007419889542877,3,-9.00247329651429,-12.480077967090152,-0.2887169331415289,0.05456533645440492
2021-06-22,17.4788426467849,1,17.4788426467849,12.115410500069888,0.6444213556472539,0.04897934936424292
2021-06-23,16.188381937048714,1,16.188381937048714,11.220931297492864,0.6212540884233135,0.04374732426714496
2021-06-24,-1.0478518234890082,1,-1.0478518234890082,-0.7263155370960035,0.20769272985936,0.03690916556471406
2021-06-25,10.643459584831144,6,1.7739099308051909,3.451869337863829,0.3724925639942176,0.014440711178022852
2021-06-26,-16.992971667413293,4,-4.248242916853323,-6.837283211613366,-0.0532688464827882,0.02873389287730228
2021-06-27,92.04237374632952,5,18.408474749265903,32.983558946042734,0.9312191630954944,0.024965846943461448
2021-06-28,-31.10759527928259,4,-7.776898819820648,-12.51643580178336,-0.2901564713891415,0.03718331371682097
2021-06-29,-18.47856356242316,1,-18.47856356242316,-12.808364234091352,-0.3016669707520351,0.03476594286567867
2021-07-01,-39.43059709993656,6,-6.571766183322761,-12.78806651334626,-0.300869440672122,0.02984326131448853
2021-07-02,-25.262759047931,3,-8.420919682643666,-11.673873471492412,-0.256470563892647,0.03257792858183534
2021-07-03,16.124976816300155,2,8.062488408150077,8.857548842437861,0.554540239647711,0.040841617600527555
2021-07-04,-10.288542440753684,3,-3.4295141469178945,-4.754316123253169,0.0366771574428313,0.031587143218492875
2021-07-05,-42.76524412569072,4,-10.691311031422678,-17.207001307596585,-0.4632444076075133,0.06968486812184217
2021-07-06,17.580683783843995,1,17.580683783843995,12.186001397087416,0.6462015431294332,0.06957229695593325
2021-07-08,-4.628015100696746,2,-2.314007550348373,-2.5421971308835123,0.1315213802553891,0.07990529629265355
2021-07-09,5.202682523876137,8,0.6503353154845172,1.4289327386922852,0.2948733134376811,0.06793751783083783
